;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
buff_name/buff_geoscanner;Geoscan Buff;;;;Geoscan-Buff;;;地质扫描仪增益;;
buff_name/buff_magnetic_stabilizer;Mag. Stabilizer Buff;;;;Magnetfeldstabilisator-Buff;;;磁稳定器增益;;
buff_name/buff_morphium_power;Morph Power Buff;;;;Morph-Power-Buff;;;金属转化增益;;
buff_name/buff_ore_mill;Ore Mill Buff;;;;Erzmühle-Buff;;;矿石磨机增益;;
buff_name/buff_power_grid_balancer;Energy Balancer;;;;Energieausgleicher;;;能源增益;;
gui/hud/building_description/alloys_factory;Produces alloys from cobalt and molten iron;;;;Stellt Legierungen aus Kobalt und geschmolzenem Eisen her;;;使用钴和熔融铁生产合金;;
gui/hud/building_description/alloys_factory_palladium;Produces alloys from palladium and molten iron;;;;Stellt Legierungen aus Palladium und geschmolzenem Eisen her;;;使用钯和熔融铁生产合金;;
gui/hud/building_description/alloys_factory_titanium;Produces alloys from titanium and molten iron;;;;Stellt Legierungen aus Titan und geschmolzenem Eisen her;;;使用钛和熔融铁生产合金;;
gui/hud/building_description/alloys_factory_uranium;Produces alloys from depleted uranium and molten iron;;;;Stellt Legierungen aus abgereichertem Uran und geschmolzenem Eisen her;;;使用贫铀和熔融铁生产合金;;
gui/hud/building_description/ammo_factory_energy_adv;Upgrades energy ammunition to advanced standard;;;;Verbessert Energiemunition auf fortgeschrittenen Standard;;;将能量弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_energy_ext;Upgrades energy ammunition to top end standard;;;;Verbessert Energiemunition auf Spitzenstandard;;;将能量弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_explosive_adv;Upgrades explosive ammunition to advanced standard;;;;Rüstet Sprengmunition auf fortgeschrittenen Standard auf;;;将爆炸弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_explosive_ext;Upgrades explosive ammunition to top end standard;;;;Rüstet Sprengmunition auf Spitzenstandard auf;;;将爆炸弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_explosive_liquid;Produces basic explosives and liquid ammunition;;;;Stellt einfache Sprengstoffe und Flüssigmunition her;;;生产基础炸药和液体弹药;;
gui/hud/building_description/ammo_factory_highcaliber_adv;Upgrades high caliber ammunition to advanced standard;;;;Rüstet großkalibrige Munition auf fortgeschrittenen Standard auf;;;将大口径弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_highcaliber_adv_molt;Produces advanced high caliber ammunition;;;;Stellt fortgeschrittene großkalibrige Munition her;;;生产高级大口径弹药;;
gui/hud/building_description/ammo_factory_highcaliber_adv_molt_uranium;Produces advanced depleted uranium high caliber ammunition;;;;Stellt fortgeschrittene großkalibrige Munition aus abgereichertem Uran her;;;生产高级贫铀大口径弹药;;
gui/hud/building_description/ammo_factory_highcaliber_adv_uranium;Upgrades high caliber ammunition to with depleted uranium to advanced standard;;;;Rüstet großkalibrige Munition mit abgereichertem Uran auf fortgeschrittenen Standard auf;;;将大口径弹药升级为使用贫铀的高级标准;;
gui/hud/building_description/ammo_factory_highcaliber_adv_uranium_molt;Produces advanced depleted uranium high caliber ammunition;;;;Stellt fortgeschrittene großkalibrige Munition aus abgereichertem Uran her;;;生产高级贫铀大口径弹药;;
gui/hud/building_description/ammo_factory_highcaliber_ext;Upgrades caliber ammunition  to top end standard;;;;Rüstet großkalibrige Munition auf Spitzenstandard auf;;;将大口径弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_highcaliber_ext_molt;Upgrades high caliber ammunition to top end standard;;;;Rüstet großkalibrige Munition auf Spitzenstandard auf;;;将大口径弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_liquid_adv;Upgrades liquid ammunition via carbonium and ferdonite as a key component to advanced standard;;;;Rüstet flüssige Munition über Carbonium und Ferdonit als Schlüsselkomponente auf fortgeschrittenen Standard auf;;;使用碳和铁白云石作为关键成分，将液体弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_liquid_adv_gas;Upgrades liquid ammunition via natural gas and ferdonite as a key component to advanced standard;;;;Rüstet flüssige Munition über Erdgas und Ferdonit als Schlüsselkomponente auf fortgeschrittenen Standard auf;;;使用天然气和铁白云石作为关键成分，将液体弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_liquid_ext;Upgrades liquid ammunition to top end standard;;;;Rüstet flüssige Munition auf Spitzenstandard auf;;;将液体弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_lowcaliber_adv;Upgrades low caliber ammunition to advanced standard;;;;Rüstet kleinkalibrige Munition auf fortgeschrittenen Standard auf;;;将小口径弹药升级至高级标准;;
gui/hud/building_description/ammo_factory_lowcaliber_adv_molt;Produces advanced low caliber ammunition;;;;Produziert fortgeschrittene kleinkalibrige Munition;;;生产高级小口径弹药;;
gui/hud/building_description/ammo_factory_lowcaliber_adv_molt_uranium;Produces advanced depleted uranium low caliber ammunition;;;;Produziert fortgeschrittene kleinkalibrige Munition mit abgereichertem Uran;;;生产高级贫铀小口径弹药;;
gui/hud/building_description/ammo_factory_lowcaliber_adv_uranium;Upgrades low caliber ammunition to with depleted uranium to advanced standard;;;;Verbessert Kleinkalibermunition mit abgereichertem Uran auf fortgeschrittenen Standard;;;将小口径弹药升级为使用贫铀的高级标准;;
